"jmdict_seq","kanji","kana","waller_definition","origin","original"
1560700,"弄る","いじる","to touch, to tamper with","waller",
1566210,"何れ","いずれ","where, which, who, anyway, anyhow, at any rate","waller",
1157860,"異性","いせい","the opposite sex","waller",
1159380,"遺跡","いせき","historic ruins (remains relics)","waller",
1155650,"依然","いぜん","still, as yet","waller",
1575870,"依存","いそん","dependence, dependent, reliance","waller",
1156160,"委託","いたく","consign (goods (for sale) to a firm), entrust (person with something), commit","waller",
1430200,"頂","いただき","(top of) head, summit, spire","waller",
1410800,"戴きます","いただきます","expression of gratitude before meals","waller",
1311850,"至って","いたって","very much, exceedingly, extremely","waller",
1432710,"痛む","いたむ","to hurt, to feel a pain, to be injured","waller",
1432720,"痛める","いためる","to hurt, to injure, to cause pain, to worry, to bother, to afflict, to be grieved over","waller",
1568920,"炒める","いためる","to stir-fry","waller",
1560240,"労る","いたわる","to pity, to sympathize with, to console, to care for, to be kind to","waller",
1587310,"位地","いち","place, situation, position, location","waller",
1587320,"一々","いちいち","one by one, separately","waller",
1161390,"一概に","いちがいに","unconditionally, as a rule","waller",
1727890,"一見","いちげん","unfamiliar, never before met","waller",
1575990,"一言","いちげん","single word","waller",
1576260,"一日","いちじつ","1. one day, 2. first of month","waller",
2859332,"一定","いちじょう","fixed, settled, definite, uniform, regularized, defined, standardized, certain, prescribed","waller",
1427070,"著しい","いちじるしい","remarkable, considerable","waller",
1165340,"一同","いちどう","all present, all concerned, all of us","waller",
1576150,"一人","いちにん","one person","waller",
1166180,"一部","いちぶ","1. one copy e.g. of a document, 2. a part, partly, some","waller",
1166200,"一部分","いちぶぶん","a part","waller",
1166400,"一別","いちべつ","parting","waller",
1166870,"一面","いちめん","one side, one phase, front page, the other hand, the whole surface","waller",
2810460,"一目","いちもく","a glance, a look, a glimpse","waller",
1167130,"一様","いちよう","uniformity, evenness, similarity, equality, impartiality","waller",
1167250,"一律","いちりつ","evenness, uniformity, monotony, equality","waller",
1167450,"一連","いちれん","a series, a chain, a ream (of paper)","waller",
1161470,"一括","いっかつ","all together, batch, one lump, one bundle, summing up","waller",
1161720,"一気","いっき","drink!(said repeatedly as a party cheer)","waller",
1609220,"一挙に","いっきょに","at a stroke, with a single swoop","waller",
1164170,"一切","いっさい","all, everything, without exception, the whole, entirely, absolutely","waller",
1163580,"一心","いっしん","one mind, wholeheartedness, the whole heart","waller",
2613280,,"いっそ","rather, sooner, might as well","waller",
1164570,"一帯","いったい","a region, a zone, the whole place","waller",
1165660,"一敗","いっぱい","one defeat","waller",
1166420,"一変","いっぺん","complete change, about-face","waller",
1577130,"何時でも","いつでも","(at) any time, always, at all times, never (neg), whenever","waller",
1188850,"何時の間にか","いつのまにか","before one knows, unnoticed, unawares","waller",
1188880,"何時までも","いつまでも","forever, for good, eternally, as long as one likes, indefinitely","waller",
1156690,"意図","いと","intention, aim, design","waller",
1173420,"営む","いとなむ","to carry on (e.g. in ceremony), to run a business","waller",
2858986,"暇","いとま","free time, leisure, leave, spare time, farewell","waller",
1157970,"異動","いどう","a change","waller",
1428230,"挑む","いどむ","to challenge, to contend for, to make love to","waller",
1167850,"稲光","いなびかり","(flash of) lightning","waller",
1265040,"古","いにしえ","antiquity, ancient times","waller",
1222760,"祈り","いのり","prayer, supplication","waller",
1575480,"鼾","いびき","snoring","waller",
1289150,"今更","いまさら","now, at this late hour","waller",
1527110,"未だ","いまだ","as yet, hitherto, not yet (neg)","waller",
1158440,"移民","いみん","emigration, immigration, emigrant, immigrant","waller",
1587620,"厭々","いやいや","unwillingly, grudgingly, shaking head in refusal (to children)","waller",
1482660,"卑しい","いやしい","greedy, vulgar, shabby, humble, base, mean, vile","waller",
1000910,"嫌に","いやに","awfully, terribly","waller",
1257270,"厭らしい","いやらしい","detestable, disagreeable","waller",
1587670,"愈々","いよいよ","more and more, all the more, increasingly, at last, beyond doubt","waller",
1587690,"意欲","いよく","will, desire, ambition","waller",
1587700,"苛々","いらいら","getting nervous, irritation","waller",
1582820,"入口","いりくち","entrance, gate, approach, mouth","waller",
1158830,"衣料","いりょう","clothing","waller",
1587770,"威力","いりょく","power, might, authority, influence","waller",
1465580,"入る","いる","to get in, to go in, to come in, to flow into, to set, to set in","waller",
1613280,"衣類","いるい","clothes, clothing, garments","waller",
1587850,"色々","いろいろ","various","waller",
1158150,"異論","いろん","different opinion, objection","waller",
1343150,"所謂","いわゆる","the so-called, so to speak","waller",
1168050,"印","いん","seal, stamp, mark, print","waller",
1168610,"員","いん","member","waller",
1168120,"印鑑","いんかん","stamp, seal","waller",
1170280,"陰気","いんき","gloom, melancholy","waller",
1170690,"隠居","いんきょ","retirement, retired person","waller",
1352700,"上下","うえした","high and low, up and down, unloading and loading, praising and blaming","waller",
1497430,"浮かぶ","うかぶ","to float, to rise to surface, to come to mind","waller",
1329580,"受かる","うかる","to pass (examination)","waller",
2797680,"含嗽","うがい","gargle, rinse mouth","waller",
1329660,"受け入れ","うけいれ","receiving, acceptance","waller",
1329670,"受け入れる","うけいれる","to accept, to receive","waller",
1329600,"受け継ぐ","うけつぐ","to inherit, to succeed, to take over","waller",
1329690,"受け付ける","うけつける","to be accepted, to receive (an application)","waller",
1329630,"受け止める","うけとめる","to catch, to stop the blow, to react to, to take","waller",
1329770,"受け取り","うけとり","receipt","waller",
1329860,"受身","うけみ","passive, passive voice","waller",
1451180,"動き","うごき","movement, activity, trend, development, change","waller",
1428620,"潮","うしお","tide","waller",
1311010,"氏","うじ","family name","waller",
1172310,"渦","うず","swirl","waller",
1584340,"埋まる","うずまる","to be buried, to be surrounded, to overflow, to be filled","waller",
1172460,"嘘つき","うそつき","liar (sometimes said with not much seriousness), fibber","waller",
1588140,"打ち合わせ","うちあわせ","business meeting, previous arrangement, appointment","waller",
1588150,"打ち合わせる","うちあわせる","to knock together, to arrange","waller",
1408720,"打ち切る","うちきる","to stop, to abort, to discontinue, to close","waller",
1588200,"打ち消し","うちけし","negation, denial, negative","waller",
1581440,"打ち込む","うちこむ","to drive in (e.g. nail stake), to devote oneself to, to shoot into, to smash, to throw into, to cast int","waller",
1419250,"団扇","うちわ","fan","waller",
1459360,"内訳","うちわけ","the items, breakdown, classification","waller",
1397710,"訴え","うったえ","lawsuit, complaint","waller",
1568430,"鬱陶しい","うっとうしい","gloomy, depressing","waller",
1321790,"写し","うつし","copy, duplicate, facsimile, transcript","waller",
1588340,"空ろ","うつろ","blank, cavity, hollow, empty (space)","waller",
1218880,"器","うつわ","bowl, vessel, container","waller",
1172100,"雨天","うてん","rainy weather","waller",
1562890,"腕前","うでまえ","ability, skill, facility","waller",
1574470,"饂飩","うどん","noodles (Japanese)","waller",
1403760,"促す","うながす","to urge, to press, to suggest, to demand, to stimulate, to quicken, to incite, to invite (attention to)","waller",
1565300,"唸る","うなる","to groan, to moan, to roar, to howl, to growl, to hum, to buzz, to sough","waller",
1317730,"自惚れ","うぬぼれ","pretension, conceit, hubris","waller",
1310460,"甘い","うまい","delicious","waller",
1378770,"生まれつき","うまれつき","by nature, by birth, native","waller",
1201830,"海路","うみじ","sea route","waller",
1588410,"産む","うむ","to give birth, to deliver, to produce","waller",
1524520,"埋め込む","うめこむ","to bury","waller",
1473500,"梅干","うめぼし","dried plum","waller",
1525230,"末","うら","top end, tip","waller",
1550620,"裏返し","うらがえし","inside out, upside down","waller",
1588530,"売り出し","うりだし","(bargain) sale","waller",
1473860,"売り出す","うりだす","to put on sale, to market, to become popular","waller",
1341790,"潤う","うるおう","to be moist, to be damp, to get wet, to profit by, to be watered, to receive benefits, to favor, to charm, t","waller",
1481920,"五月蝿い","うるさい","noisy, loud, fussy","waller",
1588590,"売れ行き","うれゆき","sales","waller",
1497450,"浮気","うわき","flighty, fickle, wanton, unfaithful","waller",
1580400,"上手","うわて","1. upper part, upper stream, left side (of a stage), 2. skillful (only in comparisons), dexterity (on","waller",
1352770,"上回る","うわまわる","to exceed","waller",
1357260,"植わる","うわる","to be planted","waller",
1172690,"運営","うんえい","management, administration, operation","waller",
1001110,,"うんざり","tedious, boring, being fed up with","waller",
1588620,"運送","うんそう","shipping, marine transportation","waller",
1172820,"運賃","うんちん","freight rates, shipping expenses, fare","waller",
1588630,"云々","うんぬん","and so on, and so forth, comment","waller",
1173010,"運搬","うんぱん","transport, carriage","waller",
1173030,"運命","うんめい","fate","waller",
1173050,"運輸","うんゆ","transportation","waller",
1173090,"運用","うんよう","making use of, application, investment, practical use","waller",
1198160,"会","え","understanding","waller",
1335730,"重","え","-fold, -ply","waller",
1001130,"鱝","えい","ray (fish)","waller",
1173780,"映写","えいしゃ","projection","waller",
1174530,"英字","えいじ","English letter (character)","waller",
1174790,"衛生","えいせい","health, hygiene, sanitation, medical","waller",
1173800,"映像","えいぞう","reflection, image","waller",
1174680,"英雄","えいゆう","hero, great man","waller",
1174970,"液","えき","liquid, fluid","waller",
1537960,"役","えき","war, campaign, battle","waller",
1175380,"閲覧","えつらん","inspection, reading","waller",
1205760,"獲物","えもの","game, spoils, trophy","waller",
1588750,"襟","えり","neck, collar, lapel, neckband","waller",
1177490,"縁","えん","chance, fate, destiny, relation, bonds, connection, karma","waller",
2847901,"塩","えん","salt","waller",
1615260,"艶","えん","charming, fascinating, voluptuous","waller",
2854424,"園","えん","garden (esp. man-made)","waller",
1576570,"円滑","えんかつ","harmony, smoothness","waller",
1177630,"縁側","えんがわ","veranda, porch, balcony, open corridor","waller",
1176740,"沿岸","えんがん","coast, shore","waller",
1566060,"婉曲","えんきょく","euphemistic, circumlocution, roundabout, indirect, insinuating","waller",
1176930,"演習","えんしゅう","practice, exercises, manoeuvers","waller",
1176950,"演出","えんしゅつ","production (e.g. play), direction","waller",
1176780,"演じる","えんじる","to perform (a play), to play (a part), to act (a part), to commit (a blunder)","waller",
1176790,"演ずる","えんずる","to perform, to play","waller",
1176750,"沿線","えんせん","along railway line","waller",
1177650,"縁談","えんだん","marriage proposal, engagement","waller",
1178340,"遠方","えんぽう","long way, distant place","waller",
1176200,"円満","えんまん","perfection, harmony, peace, smoothness, completeness, satisfaction, integrity","waller",
1485770,"尾","お","tail, ridge","waller",
,"於","お","at, in, on","waller",
1179140,"甥","おい","nephew","waller",
1432330,"追い込む","おいこむ","to herd, to corner, to drive","waller",
1486650,"美味しい","おいしい","delicious, tasty","waller",
1432350,"追い出す","おいだす","to expel, to drive out","waller",
1178920,"於いて","おいて","at, in, on","waller",
1001180,"お出でになる","おいでになる","to be","waller",
1560990,"老いる","おいる","to age, to grow old","waller",
1497930,"負う","おう","to bear, to owe","waller",
1179880,"応急","おうきゅう","emergency","waller",
1181860,"黄金","おうごん","gold","waller",
1576760,"黄色","おうしょく","yellow","waller",
1180030,"応募","おうぼ","subscription, application","waller",
2853873,,"おおい","hey!","waller",
1415020,"大方","おおかた","perhaps, almost all, majority","waller",
1414980,"大柄","おおがら","large build, large pattern","waller",
1588890,"大げさ","おおげさ","grandiose, exaggerated","waller",
2833293,"大事","おおごと","important, valuable, serious matter","waller",
1412950,"大ざっぱ","おおざっぱ","rough (as in not precise), broad, sketchy","waller",
1413490,"大筋","おおすじ","outline, summary","waller",
1413510,"大空","おおぞら","heaven, firmament, the sky","waller",
1414870,"大幅","おおはば","full width, large scale, drastic","waller",
1414210,"大水","おおみず","flood","waller",
1273170,"公","おおやけ","official, public, formal, open, governmental","waller",
1001640,"お蔭","おかげ","(your) backing, assistance","waller",
1270220,"お蔭様で","おかげさまで","Thanks to god, thanks to you","waller",
1190860,"可笑しい","おかしい","strange, funny, amusing, ridiculous","waller",
1481550,"犯す","おかす","to commit, to perpetrate, to violate, to rape","waller",
1359800,"侵す","おかす","to invade, to raid, to trespass, to violate, to intrude on","waller",
1588930,"お菜","おかず","side dish, accompaniment for rice dishes","waller",
1182790,"臆病","おくびょう","cowardice, timidity","waller",
1422000,"遅らす","おくらす","to retard, to delay","waller",
1422020,"遅れ","おくれ","delay, lag","waller",
1223660,"起こす","おこす","to raise, to cause, to wake someone","waller",
1589050,"行い","おこない","deed, conduct, behavior, action, asceticism","waller",
1262520,"厳か","おごそか","austere, majestic, dignified, stately, awful, impressive","waller",
2857913,"傲る","おごる","to be proud","waller",
2647190,"長","おさ","chief, head","waller",
1589080,"押さえる","おさえる","to stop, to restrain, to seize, to repress, to suppress, to press down","waller",
1002280,"お先に","おさきに","before, ahead, previously","waller",
1330490,"収まる","おさまる","to be obtained, to end, to settle into, to fit into, to be settled, to be paid, to be delivered","waller",
1330490,"納まる","おさまる","to be obtained, to end, to settle into, to fit into, to be settled, to be paid, to be delivered","waller",
1316820,"治まる","おさまる","to be at peace, to clamp down, to lessen (storm terror anger)","waller",
1001960,"お産","おさん","(giving) birth","waller",
1236890,"教え","おしえ","teachings, precept, lesson, doctrine","waller",
1180260,"押し込む","おしこむ","to push into, to crowd into","waller",
1382300,"惜しむ","おしむ","to be frugal, to value, to regret","waller",
1002450,"お喋り","おしゃべり","chattering, talk, idle talk, chat, chitchat, gossip, chatty, talkative, chatterbox, blabbermouth","waller",
1002770,"お洒落","おしゃれ","smartly dressed, someone smartly dressed, fashion-conscious","waller",
1180190,"押し寄せる","おしよせる","to push aside, to advance on","waller",
1002320,"お祖父さん","おじいさん","grandfather, male senior-citizen","waller",
1002050,"お邪魔します","おじゃまします","Excuse me for disturbing (interrupting) you","waller",
1589190,"雄","おす","male (animal)","waller",
1002250,"お世辞","おせじ","flattery, compliment","waller",
1333330,"襲う","おそう","to attack","waller",
1421990,"遅くとも","おそくとも","at the latest","waller",
1236650,"恐らく","おそらく","perhaps","waller",
1236660,"恐れ","おそれ","fear, horror","waller",
1236680,"恐れ入る","おそれいる","to be filled with awe, to feel small, to be amazed, to be surprised, to be disconcerted, to be sorry, to b","waller",
1002390,"お大事に","おだいじに","Take care of yourself","waller",
1391600,"煽てる","おだてる","to stir up, to instigate, to flatter","waller",
1548570,"落ち込む","おちこむ","to fall into, to feel down (sad)","waller",
1548590,"落ち着き","おちつき","calm, composure","waller",
1585070,"落ち葉","おちば","fallen leaves, leaf litter, defoliation, shedding leaves","waller",
1548550,"落ちる","おちる","to fail (e.g. exam), to fall down, to drop","waller",
1001330,,"おっかない","frightening, huge","waller",
1238840,"仰っしゃる","おっしゃる","to say, to speak, to tell, to talk","waller",
1182940,"乙","おつ","1. strange, quaint, stylish, chic, spicy, queer, witty, tasty, romantic, 2. 2nd in rank, second sign of the","waller",
1001980,"お使い","おつかい","errand","waller",
1002080,"お手上げ","おてあげ","all over, given in, given up hope, bring to knees","waller",
1002100,"御手洗い","おてあらい","toilet, restroom, lavatory, bathroom (US)","waller",
2837087,"弟","おと","younger brother","waller",
1589260,"落とす","おとす","to drop, to lose, to let fall","waller",
1518080,"訪れる","おとずれる","to visit","waller",
1414190,"大人しい","おとなしい","obedient, docile, quiet","waller",
2855480,"少女","おとめ","daughter, young lady, virgin, maiden, little girl","waller",
1001810,"お供","おとも","attendant, companion","waller",
1372430,"衰える","おとろえる","to become weak, to decline, to wear, to abate, to decay, to wither, to waste away","waller",
1001400,,"おどおど","coweringly, hesitantly","waller",
1578070,"脅かす","おどかす","to threaten, to coerce","waller",
1238070,"脅す","おどす","to threaten, to menace","waller",
1238660,"驚き","おどろき","surprise, astonishment, wonder","waller",
1451740,"同い年","おないどし","of the same age","waller",
2858064,"女子","おなご","woman, girl","waller",
1001720,"お願いします","おねがいします","please","waller",
2826190,"各","おのおの","each, every, either, respectively, severally","waller",
1317330,"自ずから","おのずから","naturally, as a matter of course","waller",
1612820,"お早う","おはよう","Good morning","waller",
1002330,"お祖母さん","おばあさん","grandmother, female senior-citizen","waller",
1236630,"怯える","おびえる","to become frightened, to have a nightmare","waller",
1565840,"夥しい","おびただしい","abundantly, innumerably","waller",
1410430,"帯びる","おびる","to wear, to carry, to be entrusted, to have, to take on, to have a trace of, to be tinged with","waller",
1206040,"覚え","おぼえ","memory, sense, experience","waller",
1694410,"御負け","おまけ","1. a discount, a prize, 2. something additional, bonus, an extra, 3. an exaggeration","waller",
1002120,"お巡りさん","おまわりさん","policeman (friendly term)","waller",
1001790,"お宮","おみや","Shinto shrine","waller",
1270830,"お襁褓","おむつ","diaper, nappy","waller",
1584680,"面","おも","face","waller",
1309380,"思い付き","おもいつき","plan, idea, suggestion","waller",
1533580,"面白い","おもしろい","interesting, amusing","waller",
1217070,"玩具","おもちゃ","toy","waller",
1589400,"重なる","おもなる","main, principal, important","waller",
1328960,"趣","おもむき","meaning, tenor, gist, effect, appearance, taste, grace, charm, refinement","waller",
1498190,"赴く","おもむく","to go, to proceed, to repair to, to become","waller",
1336770,"重役","おもやく","heavy responsibilities, director","waller",
1335940,"重んじる","おもんじる","to respect, to honor, to esteem, to prize","waller",
1335950,"重んずる","おもんずる","to honor, to respect, to esteem, to prize","waller",
1612680,"お休み","おやすみ","holiday, absence, rest, Good night","waller",
1589430,"お八つ","おやつ","1. (uk) between meal snack, afternoon refreshment, afternoon tea, 2. mid-day snack","waller",
1523450,"凡そ","およそ","about, roughly, as a rule, approximately","waller",
1228140,"及び","および","and, as well as","waller",
1228170,"及ぶ","およぶ","to reach, to come up to, to amount to, to befall, to happen to, to extend, to match, to equal","waller",
1929820,"織","おり","weave, weaving, woven item","waller",
1568410,"檻","おり","cage, pen, jail cell","waller",
1385900,"折り返す","おりかえす","to turn up, to fold back","waller",
1357450,"織物","おりもの","textile, fabric","waller",
1357420,"織る","おる","to weave","waller",
1576870,"俺","おれ","I (ego) (boastful first-person pronoun)","waller",
1245100,"愚か","おろか","foolish, stupid","waller",
1396630,"疎か","おろそか","neglect, negligence, carelessness","waller",
1589600,"終わる","おわる","to finish, to close","waller",
1576910,"音色","ねいろ","tone color, tone quality, timbre, synthesizer patch","waller",
1589620,"温和","おんわ","gentle, mild, moderate","waller",
,"仮","か","tentative, provisional","waller",
1192680,"科","か","department, section","waller",
2220320,"個","か","article counter","waller",
1184480,"下位","かい","low rank, subordinate, lower order (e.g. byte)","waller",
1203020,"階","かい","-floor (counter), stories","waller",
1200760,"改悪","かいあく","deterioration, changing for the worse","waller",
1201230,"海運","かいうん","maritime, marine transportation","waller",
1200780,"改革","かいかく","reform, reformation, innovation","waller",
1203130,"貝殻","かいがら","shell","waller",
1203040,"階級","かいきゅう","class, rank, grade","waller",
1201320,"海峡","かいきょう","channel","waller",
1198500,"会見","かいけん","interview, audience","waller",
1198060,"介護","かいご","nursing","waller",
