jmdict_seq,kana,kanji,waller_definition
1612800,おかわり,お代わり,"second helping,another cup"
1514460,おぎなう,補う,to compensate for
2167510,おきのどくに,,
1182680,おくがい,屋外,outdoors
1179330,おくさん,,"(hon) wife,your wife,madam"
1402640,おくりがな,送り仮名,part of word written in kana
2847540,げんきでね,元気でね,
1410710,おこたる,怠る,"to neglect,to be off guard,to be feeling better"
1589080,おさえる,押える,"to stop,to restrain,to seize,to repress,to suppress,to press down"
1002280,おさきに,,"before,ahead,previously"
1589090,おさめる,納める,"to obtain,to reap,to pay,to supply,to accept"
1316830,おさめる,治める,"(1) to govern,to manage,(2) to subdue"
1382280,おしい,惜しい,"regrettable,disappointing,precious"
1002030,おじぎ,御辞儀,bow
2261490,おじさん,伯父さん,"middle-aged gentleman,uncle"
2261490,おじさん,小父さん,"middle-aged gentleman,uncle"
2261490,おじさん,叔父さん,"middle-aged gentleman,uncle"
1002770,おしゃれ,,"smartly dressed,someone smartly dressed,fashion-conscious"
1002050,おじゃまします,,Excuse me for disturbing you
1236940,おそわる,教わる,to be taught
1002390,おだいじに,,Take care of yourself
1589220,おちつく,落着く,"to calm down,to settle down"
1693840,みたらし,御手洗,font of purifying water placed at entrance of shrine
1338475,おでかけ,お出掛け,
1002110,おてつだいさん,お手伝いさん,maid
1578070,おどかす,,"to threaten,to coerce"
1589250,おとしもの,落し物,lost property
1576050,おととい,,day before yesterday
1576060,おととし,,year before last
1414190,おとなしい,,"obedient,docile,quiet"
1238650,おどろかす,驚かす,"to surprise,to frighten,to create a stir"
1001720,おねがいします,,please
2826190,おのおの,各々,"each,every,either,respectively,severally"
2261500,おばさん,叔母さん,"(1) aunt,(2) middle-aged lady"
1612820,おはよう,,(abbr) Good morning
1001950,おまいり,お参り,"worship,shrine visit"
2149640,おまたせしました,,Sorry to have kept you waiting
1002360,おまちどおさま,,Sorry to have kept you waiting
1647360,おめでたい,,"happy event,matter for congratulation,auspicious event,pregnancy"
1610630,おもいがけない,思い掛けない,"unexpected,casual"
1309230,おもいこむ,思い込む,"to be under impression that,to be convinced that"
1309310,おもいっきり,思いっ切り,
1589330,おもいつく,思い付く,"to think of,to hit upon"
1335780,おもたい,重たい,"heavy,massive,serious"
1612680,おやすみ,,"(1) holiday,absence,rest,(2) (exp) Good night"
1589430,おやつ,,"(1) between meal snack,afternoon refreshment"
1365190,おやゆび,親指,thumb
1035780,オルガン,,organ
1183050,おろす,卸す,"to sell wholesale,grated (vegetables)"
1183140,おんけい,恩恵,"grace,favor,blessing,benefit"
1183390,おんしつ,温室,greenhouse
1183450,おんせん,温泉,"spa,hot spring,onsen"
1183470,おんたい,温帯,temperate zone
1270530,おんちゅう,御中,"and Company,Messrs."
1344980,おんなのひと,女の人,woman
1196540,か,蚊,mosquito
1036560,カーブ,,"(1) curve,(2) curve ball (baseball)"
1203100,かい,貝,"shell,shellfish"
1202560,かいかい,開会,opening of a meeting
1589660,かいかん,会館,"meeting hall,assembly hall"
1200840,かいさつ,改札,examination of tickets
1199000,かいさん,解散,"breakup,dissolution"
1201520,かいすいよく,海水浴,"sea bathing,seawater bath"
1199510,かいすう,回数,"number of times,frequency"
1199520,かいすうけん,回数券,book of tickets
1200930,かいせい,改正,"revision,amendment,alteration"
1200060,かいせい,快晴,good weather
1199080,かいせつ,解説,"explanation,commentary"
1201000,かいぞう,改造,"(1) remodeling,(2) modding (comp)"
1202850,かいつう,開通,"opening,open"
1199640,かいてん,回転,"rotation,revolution,turning"
1199160,かいとう,解答,"answer,solution"
1199680,かいとう,回答,"reply,answer"
1204070,がいぶ,外部,"the outside,external"
1199250,かいほう,解放,"release,liberation,emancipation"
1202950,かいほう,開放,"open,throw open,liberalization"
1201790,かいよう,海洋,ocean
1204520,がいろん,概論,"intro,outline,general remarks"
1221240,かえす,帰す,to send back
1226610,かえって,却って,"on the contrary,rather,all the more,instead"
1589780,かえる,代える,"to exchange,to interchange,to substitute,to replace"
1512150,かえる,反る,"to warp,to be warped,to curve"
1191780,かおく,家屋,"house,building"
1589880,かかわる,係わる,"to concern oneself in,to have to do with,to affect,to influence,to stick to (opinions)"
1589960,かきとめ,書留,"writing down,putting on record,recording,making a note of,registration (of mail)"
1589970,かきとり,書取,dictation
1204800,かきね,垣根,hedge
1399970,かく,掻く,"to scratch,to perspire"
1565480,かぐ,嗅ぐ,"to sniff,to smell"
1193130,かくう,架空,"aerial,overhead,fiction,fanciful"
1205010,かくじ,各自,"individual,each"
1205190,かくじゅう,拡充,expansion
1206870,がくじゅつ,学術,"science,learning,scholarship"
1205100,かくち,各地,"every place,various places"
1205220,かくちょう,拡張,"expansion,extension,enlargement,escape (ESC)"
1206190,かくど,角度,angle
1207030,がくねん,学年,"year in school,grade in school"
1207080,がくぶ,学部,"department of a university,undergraduate"
1205490,かくべつ,格別,exceptional
1205950,かくりつ,確率,probability
1207180,がくりょく,学力,"scholarship,knowledge,literary ability"
1590080,かけざん,掛け算,multiplication
1190810,かけつ,可決,"approval,adoption (e.g. motion, bill),passage"
1193860,かこう,火口,"a burner,origin of a fire"
1184940,かこう,下降,"downward,descent,fall,drop,subsidence"
1335800,かさなる,重なる,"to be piled up,lie on top of one another,overlap each other"
1335830,かさねる,重ねる,"to pile up,to put something on another,to heap up,to add,to repeat"
1357160,かざり,飾り,decoration
1193910,かざん,火山,volcano
1002790,かしこまりました,,certainly!
1590240,かしだし,貸し出し,"lending,loaning"
1196120,かしつ,過失,"error,blunder,accident"
1192940,かじつ,果実,"fruit,nut,berry."
1609530,かしま,貸間,room to let
1411170,かしや,貸家,house for rent
1590250,かしょ,個所,"passage,place,point,part"
1196170,かじょう,過剰,"excess,over-"
1610640,かじる,,"to chew,to bite (at),to gnaw,to nibble"
1195790,かぜい,課税,taxation
1185640,かせん,下線,"underline,underscore"
1037400,カセット,,cassette (tape)
1190370,かそく,加速,acceleration
1190390,かそくど,加速度,acceleration
1511600,かたかな,片仮名,katakana
1511770,かたづく,片付く,"to put in order,to dispose of,to solve"
1590410,かたまり,塊,"lump,mass,clod,cluster"
1266550,かたまる,固まる,"to harden,to solidify,to become firm,to become certain"
1511760,かたみち,片道,one-way (trip)
1578210,かたむく,傾く,"to incline toward,to slant,to lurch"
1590420,かたよる,片寄る,"to be one-sided,to incline,to be partial"
1206590,がっか,学科,"study subject,course of study"
1206610,がっかい,学会,"scientific society,academic meeting"
1207340,がっき,楽器,musical instrument
1206680,がっきゅう,学級,grade in school
1418140,かつぐ,担ぐ,"to shoulder,to carry on shoulder"
1208240,かっこ,括弧,"parenthesis,brackets"
1208300,かつじ,活字,printing type
1208450,かつやく,活躍,activity
1208480,かつりょく,活力,"vitality,energy"
1187870,かてい,仮定,"assumption,supposition,hypothesis"
1196270,かてい,過程,process
1195850,かてい,課程,"course,curriculum"
1590540,かな,仮名,"(n) alias,pseudonym,pen name"
1188100,かなづかい,仮名遣い,"kana orthography,syllabary spelling"
1352030,かね,鐘,"bell,chime"
1190470,かねつ,加熱,heating
1256520,かねる,兼ねる,"to hold (position),to serve,to be unable"
1037960,カバー,,cover (ex. book)
1196380,かはんすう,過半数,majority
1484320,かぶせる,被せる,to cover (with something)
1209080,かま,釜,"iron pot,kettle"
1609610,かみくず,紙屑,wastepaper
1364920,かみさま,神様,god
1435180,かみそり,剃刀,razor
1040350,ガム,,chewing gum
1195890,かもつ,貨物,"cargo,freight"
1569570,かゆい,,"itchy,itching"
1193450,かよう,歌謡,"song,ballad"
1205740,から,殻,"shell,husk,hull,chaff"
1038500,カラー,,"collar,color,colour"
1567650,からかう,,"to ridicule,to tease,to banter with,to make fun of"
1245380,からっぽ,空っぽ,"empty,vacant,hollow"
1590710,かるた,,(n) playing cards (pt: carta)
1267220,かれる,枯れる,"to wither,to die (plant),to be blasted (plant)"
1039300,カロリー,,calorie
1190730,かわいがる,,"to love,to be affectionate"
1209630,かわかす,乾かす,"to dry (clothes, etc.),to desiccate"
1208520,かわく,渇く,to be thirsty
1157330,かわせ,為替,"money order,exchange"
1209580,かわら,瓦,roof tile
1590820,かわる,代る,"(v5r,vi) to take the place of,to relieve,to be substituted for"
1215380,かんかく,間隔,"space,interval,SPC"
1212780,かんき,換気,ventilation
1212360,かんげき,感激,"deep emotion,impression,inspiration"
1215910,かんさい,関西,
1215200,かんしょう,鑑賞,appreciation
1609650,かんずる,感ずる,"to feel,to sense"
1215520,かんせつ,間接,"indirection,indirectness"
1209920,かんそう,乾燥,"dry,arid,insipid,dehydrated"
1212480,かんそう,感想,"impressions,thoughts"
1214980,かんそく,観測,observation
1210460,かんたい,寒帯,frigid zone
1211730,かんちょう,官庁,"government office,authorities"
1210620,かんちがい,勘違い,"misunderstanding,wrong guess"
1214560,かんづめ,缶詰,"packing (in cans),canning,canned goods,tin can"
1210100,かんでんち,乾電池,"dry cell,battery"
1216010,かんとう,関東,"eastern half of Japan, including Tokyo"
1215010,かんねん,観念,"(1) idea,notion,conception,(2) sense (e.g. of duty)"
1590950,かんぱい,乾杯,toast (drink)
1213990,かんばん,看板,"sign,signboard,doorplate,poster"
1214030,かんびょう,看病,nursing (a patient)
1577620,かんむり,冠,"crown,diadem,first,best"
1213260,かんわ,漢和,Chinese Character-Japanese (e.g. dictionary)
1221880,きあつ,気圧,atmospheric pressure
1220810,きかい,器械,instrument
1423160,きがえ,着替え,"changing clothes,change of clothes"
1220880,きかんしゃ,機関車,"locomotive,engine"
1591080,ききん,飢饉,famine
1218920,きぐ,器具,utensil
1220560,きげん,期限,"term,period"
1223210,きごう,記号,"symbol,code"
1285890,きざむ,刻む,"to mince,to carve,to engrave"
1224700,ぎしき,儀式,"ceremony,rite,ritual,service"
1591210,きじゅん,基準,"standard,basis,criteria,norm"
1591210,きじゅん,規準,"standard,basis,criteria,norm"
1223820,きしょう,起床,"rising,getting out of bed"
1422990,きせる,着せる,to put on clothes
1219060,きそ,基礎,"foundation,basis"
1222460,きたい,気体,"vapour,gas"
1219110,きち,基地,base
1591290,きっかけ,,"chance,start,cue,excuse"
1003590,ぎっしり,,"tightly,fully"
1219170,きばん,基盤,"foundation,basis"
1226760,きゃくせき,客席,guest seating
1226710,きゃくま,客間,"parlor,guest room"
1043150,ギャング,,gang
1042150,キャンパス,,campus
1227700,きゅうぎょう,休業,"closed (e.g. store),business suspended,shutdown,holiday"
1227780,きゅうこう,休講,lecture cancelled
1227940,きゅうそく,休息,"rest,relief,relaxation"
1230350,きゅうよ,給与,"allowance,grant,supply"
1228100,きゅうよう,休養,"rest,break,recreation"
1378140,きよい,清い,"clear,pure,noble"
1236200,きょうか,強化,"strengthen,intensify,reinforce,solidify"
1235960,きょうかい,境界,boundary
1281930,ぎょうじ,行事,"event,function"
1236740,きょうしゅく,恐縮,"shame,very kind of you,sorry to trouble"
1237370,きょうよう,教養,"culture,education,refinement,cultivation"
1282220,ぎょうれつ,行列,"(1) line,procession,(2) matrix (math)"
1232990,ぎょぎょう,漁業,fishing (industry)
1239970,きょくせん,曲線,curve
1223120,きりつ,規律,"order,rules,law"
1304400,きる,斬る,"(v5r) to behead,to murder"
1591990,きをつける,気を付ける,"to be careful,to pay attention,to take care"
1242750,きんぎょ,金魚,goldfish
1244090,くいき,区域,"limits,boundary,domain,zone,sphere,territory"
1246250,ぐうすう,偶数,even number
1245730,くうそう,空想,"daydream,fantasy,fancy,vision"
1245790,くうちゅう,空中,"sky,air"
1043310,クーラー,,"cooler,air conditioner"
1436840,くぎ,釘,nail
1592130,くぎる,区切る,"to punctuate,to cut off,to mark off,to stop,to put an end to"
1246490,くし,櫛,comb
1003710,くしゃみ,,sneeze
1244520,くじょう,苦情,"complaint,troubles,objection"
1244530,くしん,苦心,"pain,trouble"
1246510,くず,屑,"waste,scrap"
1516260,くずす,崩す,"to destroy,to pull down,to make change (money)"
1538250,くすりゆび,薬指,ring finger
1516270,くずれる,崩れる,"to collapse,to crumble"
1295170,くだく,砕く,"to break,to smash"
1295190,くだける,砕ける,"to break,to be broken"
1003810,くたびれる,,"to get tired,to wear out"
1184360,くだらない,,"good-for-nothing,stupid,trivial,worthless"
1184450,くだる,下る,"to get down,to descend"
1359940,くちびる,唇,lips
1276110,くちべに,口紅,lipstick
1003860,くっつく,,"to adhere to,to keep close to"
1003870,くっつける,,to attach
1572760,くどい,,"verbose,importunate,heavy (taste)"
1244050,くとうてん,句読点,punctuation marks
1472990,くばる,配る,"to distribute,to deliver"
1278220,くふう,工夫,"labourer,worker"
1244230,くぶん,区分,"division,section,classification"
1592290,くみあわせ,組合せ,combination
1397580,くみたてる,組み立てる,"to assemble,to set up,to construct"
1229610,くむ,汲む,"(1) to draw (water),to dip,to scoop,to pump"
1324210,くむ,酌む,to serve sake
1592350,くやしい,悔しい,"regrettable,mortifying,vexing"
1200450,くやむ,悔やむ,to mourn
1044440,クリーニング,,"cleaning,dry cleaning,laundry service"
2831360,くるむ,,"to be engulfed in,to be enveloped by,to wrap up"
1269140,くれぐれも,,"repeatedly,sincerely,earnestly"
1609730,くわえる,咥える,
1249230,ぐん,郡,"country,district"
1250990,けいこ,稽古,"practice,training,study"
1250750,けいご,敬語,"honorific,term of respect"
1592540,けいこうとう,蛍光灯,"fluorescent lamp,person who is slow to react"
1250310,けいしき,形式,"form,formality,format,math expression"
1251810,けいぞく,継続,continuation
1533860,けいと,毛糸,knitting wool
1251630,けいど,経度,longitude
1251030,けいとう,系統,"system,family line,geological formation"
1253130,げいのう,芸能,"public entertainment,accomplishments,attainments"
1234210,けいば,競馬,horse racing
1252490,けいび,警備,"defense,guard,policing,security"
1250430,けいようし,形容詞,true adjective
1250450,けいようどうし,形容動詞,"adjectival noun,quasi-adjective"
1203380,げか,外科,surgical department
1533930,けがわ,毛皮,"fur,skin,pelt"
1253690,げきぞう,激増,sudden increase
1185170,げしゃ,下車,"alighting,getting off"
1185330,げじゅん,下旬,month (last third of)
1185510,げすい,下水,"drainage,sewage,ditch,gutter,sewerage"
1298090,けずる,削る,"to cut down little by little,to take a percentage"
1253800,けた,桁,"column,beam,digit"
1185780,げた,下駄,"geta (Japanese footwear),wooden clogs"
1255110,けつあつ,血圧,blood pressure
1255120,けつえき,血液,blood
1255560,げっきゅう,月給,monthly salary
1253840,けっさく,傑作,"masterpiece,best work,boner,blunder"
1255840,げつまつ,月末,end of the month
1222510,けはい,気配,"indication,market trend,worry"
1186230,げひん,下品,"vulgarity,meanness,indecency,coarseness"
1177190,けむい,煙い,smoky
1333400,ける,蹴る,to kick
1260530,けわしい,険しい,"inaccessible place,sharp eyes"
1259440,けんがく,見学,"inspection,study by observation,field trip"
1260190,けんきょ,謙虚,"modesty,humility"
1261340,げんこう,原稿,"manuscript,copy"
1261470,げんさん,原産,"place of origin,habitat"
1261500,げんし,原始,"origin,primeval"
1258660,けんしゅう,研修,training
1262660,げんじゅう,厳重,"strict,rigour,severe,firm"
1260240,けんそん,謙遜,"humble,humility,modesty"
1258880,けんちょう,県庁,prefectural office
1264690,げんど,限度,"limit,bounds"
1263500,げんに,現に,"actually,really"
1260660,けんびきょう,顕微鏡,microscope
1262460,げんり,原理,"principle,theory,fundamental truth"
1262490,げんりょう,原料,raw materials
1270870,ご,碁,Go (board game of capturing territory)
1558760,こいしい,恋しい,"(1) dear,beloved,darling,(2) yearned for"
1592920,こう,請う,"to ask,to request"
1277980,こういん,工員,factory worker
1236170,ごういん,強引,"overbearing,coercive,pushy,forcible,high-handed"
1273420,こうがい,公害,"public nuisance,pollution"
1283400,こうきゅう,高級,"high class,high grade"
1273510,こうきょう,公共,"public,community,public service,society,communal"
1278090,こうげい,工芸,industrial arts
1277880,こうこう,孝行,filial piety
1271970,こうさ,交差,cross
1282280,こうし,講師,lecturer
1278130,こうじ,工事,construction work
1273820,こうしき,公式,"formula,formality,official"
1276220,こうじつ,口実,excuse
2008040,こうして,,thus
1279540,こうしゃ,校舎,school building
1273900,こうしゅう,公衆,the public
1283060,こうすい,香水,perfume
1274120,こうせい,公正,"justice,fairness,impartiality"
1275070,こうせき,功績,"achievements,merit,meritorious service,meritorious deed"
1273030,こうせん,光線,"beam,light ray"
1283690,こうそう,高層,upper
1279790,こうぞう,構造,"structure,construction"
1592990,こうたい,交替,"alternation,change,relief,relay,shift"
1280990,こうち,耕地,arable land
1272320,こうつうきかん,交通機関,transportation facilities
1279600,こうてい,校庭,campus
1281180,こうてい,肯定,"positive,affirmation"
1283830,こうど,高度,"altitude,height,advanced"
1283850,こうとう,高等,"high class,high grade"
1285140,ごうどう,合同,"combination,incorporation,union,amalgamation"
1270010,こうはい,後輩,junior (at work or school)
1274550,こうひょう,公表,"official announcement,proclamation"
1282650,こうぶつ,鉱物,mineral
1274810,こうむ,公務,"official business,public business"
1283000,こうもく,項目,item
1578780,こうよう,紅葉,(1) (Japanese) maple
1285330,ごうり,合理,rational
1272580,こうりゅう,交流,"alternating current,intercourse,(cultural) exchange,intermingling"
1285390,ごうりゅう,合流,"confluence,union,linking up,merge"
1275250,こうりょく,効力,"effect,efficacy,validity,potency"
1593070,こえる,超える,"to exceed,to cross over,to cross"
1048830,コース,,course
1049340,コーラス,,chorus
1350710,こがす,焦がす,"to burn,to scorch,to singe,to char"
1286160,こくおう,国王,king
1286780,こくせき,国籍,nationality
1287180,こくりつ,国立,national
1005030,ごくろうさま,,Thank you very much for your....
1350730,こげる,焦げる,"to burn,to be burned"
1446180,こごえる,凍える,"to freeze,to be chilled,to be frozen"
1360890,こころあたり,心当たり,"having some knowledge of,happening to know"
1360920,こころえる,心得る,"to be informed,to have thorough knowledge"
1288370,こしかけ,腰掛け,"seat,bench"
1288350,こしかける,腰掛ける,to sit (down)
1268300,ごじゅうおん,五十音,the Japanese syllabary
1267600,こしょう,胡椒,pepper
1567390,こしらえる,,"to make,to manufacture"
1175300,こす,超す,"to cross,to pass,to tide over"
1298910,こする,擦る,"to rub,to chafe,to file,to frost (glass),to strike (match)"
1264980,こたい,個体,an individual
1593590,ごちそう,御馳走,"feast,treating (someone)"
1270520,ごちそうさま,,feast
1004510,こちらこそ,,it is I who should say so
1348030,こづかい,小遣い,"personal expenses,pocket money,spending money,incidental expenses,allowance"
1050310,コック,,"(1) cook (nl:),(2) tap,spigot,faucet,cock"
1004520,こっそり,,"stealthily,secretly"
1265860,こてん,古典,"old book,classics,classic"
1241450,こと,琴,Koto (Japanese harp)
1593330,ことづける,言付ける,"to send word,to send a message"
1264560,ことばづかい,言葉遣い,"speech,expression,wording"
1004610,こないだ,,"the other day,lately,recently"
1270650,ごぶさた,御無沙汰,not writing or contacting for a while
1557640,こぼす,,to spill
1557650,こぼれる,零れる,"to overflow,to spill"
1054570,ゴム,,"gum,rubber,eraser"
1270670,ごめん,御免,"your pardon,declining (something),dismissal,permission"
1270690,ごめんください,,May I come in?
1348170,こゆび,小指,little finger
2827352,こらえる,,"to bear,to stand,to endure,to put up with"
1269290,ごらく,娯楽,"pleasure,amusement"
1270760,ごらん,御覧,"(hon) look,inspection,try"
1051540,コレクション,,"(1) collection,(2) correction"
1440980,ころがす,転がす,to roll
1441000,ころがる,転がる,"to roll,to tumble"
1290590,こん,紺,"navy blue,deep blue"
1051840,コンクール,,contest (fr: concours)
1051860,コンクリート,,concrete
1290360,こんごう,混合,"mixing,mixture"
1052330,コンセント,,"(1) consent,(2) concentric"
1258500,こんだて,献立,"menu,program,schedule"
1289480,こんばんは,,good evening
1054850,サークル,,"circle,sports club (i.e. at a company)"
1296440,ざいがく,在学,(enrolled) in school
1292760,さいさん,再三,"again and again,repeatedly"
1295310,さいじつ,祭日,"national holiday,festival day"
1292200,さいそく,催促,"request,demand,claim,urge (action),press for"
