jmdict_seq,kana,kanji,waller_definition
1182710,おくじょう,屋上,rooftop
1589030,おくりもの,贈り物,gift
1402730,おくる,送る,to send
1589040,おくれる,遅れる,to be late
1223660,おこす,起す,to wake
1589060,おこなう,行う,to do
1445690,おこる,怒る,"to get angry,to be angry"
1589110,おしいれ,押し入れ,closet
1002170,おじょうさん,お嬢さん,young lady
1002400,おたく,お宅,(polite) your house
1548550,おちる,落る,to fall or drop
1238840,おっしゃる,,(respectful) to say
1496480,おっと,夫,husband
1270550,おつり,,"change from purchase, balance"
1576900,おと,音,"sound,note"
1589260,おとす,落す,to drop
1546880,おどり,踊り,a dance
1538440,おどる,踊る,to dance
1238680,おどろく,驚く,to be surprised
1604135,おまつり,お祭り,festival
1001870,おみまい,お見舞い,"calling on someone who is ill,enquiry"
1002500,おみやげ,お土産,souvenir
1309260,おもいだす,思い出す,to remember
1589350,おもう,思う,"to think,to feel"
1217070,おもちゃ,,toy
1489340,おもて,表,the front
1365040,おや,親,parents
1589500,おりる,下りる,to get off
1385910,おる,折る,to break or to fold
1270810,おれい,お礼,expression of gratitude
1385920,おれる,折れる,to break or be folded
1589590,おわり,終わり,the end
1036290,カーテン,,curtain
1201280,かいがん,海岸,coast
1198360,かいぎ,会議,meeting
1198380,かいぎしつ,会議室,meeting room
1198660,かいじょう,会場,assembly hall or meeting place
1198880,かいわ,会話,conversation
1221250,かえり,帰り,return
1510650,かえる,変える,to change
1192700,かがく,科学,science
1238550,かがみ,鏡,mirror
1357210,かざる,飾る,to decorate
1193950,かじ,火事,fire
1040060,ガス,,petrol
1040250,ガソリン,,petrol
1040260,ガソリンスタンド,,petrol station
1257110,かたい,堅い,hard
1257110,かたい,硬い,hard
1257110,かたい,固い,hard
1250220,かたち,形,shape
1511790,かたづける,片付ける,to tidy up
1195840,かちょう,課長,section manager
1346150,かつ,勝つ,to win
1590480,かっこう,格好,appearance
1192420,かない,家内,housewife
1483190,かなしい,悲しい,sad
1487400,かならず,必ず,"certainly,necessarily"
2429350,おかねもち,お金持ち,rich man
1242970,かねもち,金持ち,rich man
1483150,かのじょ,彼女,"she,girlfriend"
1509290,かべ,壁,wall
1279680,かまう,,to mind
1477950,かみ,髪,hair
1209240,かむ,噛む,"to bite,to chew"
1432850,かよう,通う,to commute
1040380,ガラス,,a glass pane
1483070,かれ,彼,"he,boyfriend"
1483090,かれら,彼ら,they
1209650,かわく,乾く,to get dry
1590770,かわり,代わり,"substitute,alternate"
1510790,かわる,変わる,to change
1281020,かんがえる,考える,to consider
1215810,かんけい,関係,relationship
1213870,かんごふ,看護婦,female nurse
1214330,かんたん,簡単,simple
1221520,き,気,"spirit,mood"
1220800,きかい,機会,opportunity
1218560,きけん,危険,danger
1591150,きこえる,聞こえる,to be heard
1222700,きしゃ,汽車,steam train
1225130,ぎじゅつ,技術,"art,technology,skill"
1222840,きせつ,季節,season
1223021,きそく,規則,regulations
1003430,きっと,,surely
1258710,きぬ,絹,silk
1262530,きびしい,厳しい,strict
1222590,きぶん,気分,mood
1591420,きまる,決る,to be decided
1247250,きみ,君,(informal) You (used by men towards women)
1254180,きめる,決める,to decide
1591430,きもち,気持ち,"feeling,mood"
1423240,きもの,着物,kimono
1226630,きゃく,客,"guest,customer"
1228560,きゅう,急,"urgent, steep"
1228690,きゅうこう,急行,"speedy, express"
1236950,きょういく,教育,education
1237030,きょうかい,教会,church
1234140,きょうそう,競争,competition
1238410,きょうみ,興味,an interest
1242350,きんじょ,近所,neighbourhood
1592500,ぐあい,具合,"condition,health"
1245470,くうき,空気,"air,atmosphere"
1245570,くうこう,空港,airport
1401910,くさ,草,grass
1184280,くださる,,(respectful) to give
1592270,くび,首,neck
1173100,くも,雲,cloud
1483540,くらべる,比べる,to compare
1269130,くれる,呉れる,to give
1514960,くれる,暮れる,"to get dark,to come to an end"
1247260,くん,君,suffix for familiar young male
1533820,け,毛,hair or fur
1252090,けいかく,計画,to plan
1251270,けいけん,経験,to experience
1251320,けいざい,経済,"finance,economy"
1252390,けいさつ,警察,police
1047860,ケーキ,,cake
1200220,けが,怪我,to injure
1250870,けしき,景色,"scene,landscape"
1350080,けしゴム,消しゴム,eraser
1185290,げしゅく,下宿,lodging
1254130,けっして,決して,never
2853889,けれど,,however
2853889,けれども,,however
1261190,げんいん,原因,"cause,source"
1257040,けんか,喧嘩,to quarrel
1258520,けんきゅう,研究,research
1258570,けんきゅうしつ,研究室,"study room,laboratory"
1260000,けんぶつ,見物,sightseeing
1307770,こ,子,child
1004310,こう,斯う,this way
1282490,こうがい,郊外,outskirts
1282260,こうぎ,講義,lecture
1278040,こうぎょう,工業,the manufacturing industry
1283500,こうこう,高校,high school
1283510,こうこうせい,高校生,high school student
1578700,こうじょう,工場,factory
1279590,こうちょう,校長,headmaster
1272280,こうつう,交通,"traffic,transportation"
1282340,こうどう,講堂,auditorium
1283860,こうとうがっこう,高等学校,high school
1274820,こうむいん,公務員,government worker
1286400,こくさい,国際,international
1360480,こころ,心,"core,heart"
1270390,ごしゅじん,御主人,(honorable) your husband
1267180,こしょう,故障,to break-down
1593570,ごぞんじ,ご存じ,"knowing,acquaintance"
1449530,こたえ,答,response
1593590,ごちそう,,a feast
2524270,こと,,"thing,matter"
1348530,ことり,小鳥,small bird
1004690,このあいだ,,"the other day,recently"
1004710,このごろ,,"these days,nowadays"
1295530,こまかい,細かい,"small, fine"
1369900,ごみ,塵,rubbish
1593410,こむ,込む,to be crowded
1508750,こめ,米,uncooked rice
2217040,ごらんになる,,(respectful) to see
1004790,これから,,after this
1593480,こわい,怖い,frightening
1199890,こわす,壊す,to break
1199900,こわれる,壊れる,to be broken
1051970,コンサート,,concert
1289370,こんど,今度,"now,next time"
1053350,コンピュータ,,computer
1053350,コンピューター,,computer
1289520,こんや,今夜,tonight
1293780,さいきん,最近,"latest,nowadays"
1293810,さいご,最後,"last,end"
1293990,さいしょ,最初,"beginning,first"
1297110,さか,坂,"slope,hill"
1593670,さがす,探す,to look for
1184160,さがる,下る,"to get down,to descend"
1379750,さかん,盛ん,"popularity,prosperous"
1184170,さげる,下げる,"to hang,to lower,to move back"
1291270,さしあげる,差し上げる,(polite) to give
1005180,さっき,先,some time ago
1579720,さびしい,寂しい,lonely
1293640,さらいげつ,さ来月,the month after next
1293650,さらいしゅう,さ来週,the week after next
1057850,サラダ,,salad
1403040,さわぐ,騒ぐ,"to make noise,to be excited"
1357980,さわる,触る,to touch
1303770,さんぎょう,産業,industry
1058480,サンダル,,sandal
1058580,サンドイッチ,,sandwich
1304680,ざんねん,残念,disappointment
1308090,し,市,city
1315130,じ,字,character
1312420,しあい,試合,"match,game"
1594110,しかた,仕方,method
1394730,しかる,然る,a particular
1312350,しけん,試験,examination
1313850,じこ,事故,accident
1421210,じしん,地震,earthquake
1316300,じだい,時代,era
1185930,したぎ,下着,underwear
1310260,したく,支度,to prepare
1594400,しっかり,,"firmly,steadily"
1320140,しっぱい,失敗,"failure,mistake"
1595270,じてん,辞典,dictionary
1490670,しなもの,品物,goods
1304420,しばらく,,little while
1446760,しま,島,island
1308690,しみん,市民,citizen
1314400,じむしょ,事務所,office
1322700,しゃかい,社会,"society,public"
1322920,しゃちょう,社長,company president
1323500,じゃま,,"hindrance,intrusion"
1065680,ジャム,,jam
1318720,じゆう,自由,freedom
1333090,しゅうかん,習慣,"custom,manners"
1334080,じゅうしょ,住所,"an address,a residence"
1335440,じゅうどう,柔道,judo
1335080,じゅうぶん,十分,enough
1339460,しゅっせき,出席,to attend
1340000,しゅっぱつ,出発,to depart
1329000,しゅみ,趣味,hobby
1341670,じゅんび,準備,to prepare
1351430,しょうかい,紹介,introduction
1347870,しょうがっこう,小学校,elementary school
1348430,しょうせつ,小説,novel
1349610,しょうたい,招待,to invite
1349480,しょうち,承知,to consent
1347710,しょうらい,将来,"future,prospects"
1358490,しょくじ,食事,to have a meal
1358680,しょくりょうひん,食料品,groceries
1345250,じょせい,女性,woman
1420410,しらせる,知らせる,to notify
1429060,しらべる,調べる,to investigate
1367300,じんこう,人口,population
1364670,じんじゃ,神社,Shinto shrine
1365250,しんせつ,親切,kindness
1360930,しんぱい,心配,to worry
1362400,しんぶんしゃ,新聞社,newspaper company
1371320,すいえい,水泳,swimming
1371920,すいどう,水道,water supply
1372800,ずいぶん,,extremely
1372980,すうがく,数学,"mathematics,arithmetic"
1066680,スーツ,,suit
1066690,スーツケース,,suitcase
1195970,すぎる,過ぎる,to exceed
1586265,すく,空く,to become empty
1068550,スクリーン,,screen
1374550,すごい,凄い,terrific
1365980,すすむ,進む,to make progress
1006110,すっかり,,completely
1006140,すっと,,"straight,all of a sudden"
1070280,ステーキ,,steak
1322320,すてる,捨てる,to throw away
1070650,ステレオ,,stereo
1291500,すな,砂,sand
1397300,すばらしい,,wonderful
1208640,すべる,滑る,"to slide,to slip"
1246440,すみ,隅,"corner,nook"
1295070,すむ,済む,to finish
1567450,すり,掏摸,pickpocket
1006280,すると,,then
1378860,せいかつ,生活,to live
1378990,せいさん,生産,to produce
1375970,せいじ,政治,"politics,government"
1381100,せいよう,西洋,western countries
1373860,せかい,世界,the world
1382250,せき,席,seat
1386460,せつめい,説明,explanation
1472800,せなか,背中,back of the body
1374530,ぜひ,,without fail
1374300,せわ,世話,to look after
1391780,せん,線,line
1395620,ぜんぜん,全然,not entirely (used in a negative sentence)
1390360,せんそう,戦争,war
1388410,せんぱい,先輩,senior
1006610,そう,,really
1401210,そうだん,相談,to discuss
1160570,そだてる,育てる,"to rear,to bring up"
1405890,そつぎょう,卒業,graduation
1396840,そふ,祖父,grandfather
1075500,ソフト,,soft
1396860,そぼ,祖母,grandmother
1007000,それで,,because of that
1007040,それに,,moreover
1007060,それほど,,to that extent
1345605,そろそろ,,"gradually,soon"
1007130,そんな,,that sort of
2008740,そんなに,,"so much,like that"
1411300,たいいん,退院,to leave hospital
1413260,だいがくせい,大学生,university student
1413940,だいじ,大事,"important,valuable,serious matter"
1414470,だいたい,大体,generally
1414580,たいてい,大抵,usually
1075940,タイプ,,"type,style"
1414920,だいぶ,大分,greatly
1596780,たいふう,台風,typhoon
1445790,たおれる,倒れる,to break down
1007310,だから,,"so,therefore"
1596930,たしか,確か,definite
1404700,たす,足す,to add a number
1518070,たずねる,訪ねる,to visit
1369940,たずねる,尋ねる,to ask
1376600,ただしい,正しい,correct
1356750,たたみ,畳,Japanese straw mat
1551530,たてる,立てる,to stand something up
1257330,たてる,建てる,to build
1556370,たとえば,例えば,for example
1416700,たな,棚,shelves
1207250,たのしみ,楽しみ,joy
1207270,たのしむ,楽む,to enjoy oneself
1634500,たまに,,occasionally
1157080,ため,為,in order to
1409110,だめ,,no good
1404740,たりる,足りる,to be enough
1420160,だんせい,男性,male
1419860,だんぼう,暖房,heating
1255060,ち,血,blood
1077550,チェック,,to check
1554820,ちから,力,"strength,power"
1007560,ちっとも,,not at all (used with a negative verb)
1007660,ちゃん,,suffix for familiar female person
1426530,ちゅうい,注意,caution
1423650,ちゅうがっこう,中学校,"junior high school,middle school"
1426590,ちゅうしゃ,注射,injection
1426920,ちゅうしゃじょう,駐車場,parking lot
1421540,ちり,地理,geography
1597780,つかまえる,捕まえる,to seize
1255430,つき,月,moon
1495740,つく,付く,to be attached
1433680,つける,漬ける,"to soak,to pickle"
1444980,つごう,都合,"circumstances,convenience"
1441870,つたえる,伝える,to report
1405790,つづく,続く,to be continued
1405800,つづける,続ける,to continue
1584060,つつむ,包む,to wrap
1294330,つま,妻,(humble) wife
1382980,つもり,積もり,intention
1434120,つる,釣る,to fish
1559290,つれる,連れる,to lead
1427360,ていねい,丁寧,polite
1079290,テキスト,,"text,text book"
1437450,てきとう,適当,suitability
1340460,できるだけ,,as much as possible
1328190,てつだう,手伝う,to assist
1080000,テニス,,tennis
1328090,てぶくろ,手袋,glove
1315240,てら,寺,temple
1441390,てん,点,"point,dot"
1440670,てんいん,店員,shop assistant
1438770,てんきよほう,天気予報,weather forecast
1443660,でんとう,電灯,electric light
1443760,でんぽう,電報,telegram
1440660,てんらんかい,展覧会,exhibition
1621470,と,都,metropolitan
1454180,どうぐ,道具,"tool,means"
1449890,とうとう,到頭,"finally, after all"
1451490,どうぶつえん,動物園,zoo
1177820,とおく,遠く,distant
1433030,とおる,通る,to go through
1454670,とくに,特に,"particularly,especially"
1455280,とくべつ,特別,special
1349410,とこや,,barber
1582200,とちゅう,途中,on the way
1454750,とっきゅう,特急,limited express train (faster than an express train)
1457210,とどける,届ける,to reach
1474850,とまる,泊まる,to lodge at
1310670,とめる,止める,to stop something
1326830,とりかえる,取り替える,to exchange
1599340,どろぼう,泥棒,thief
1009320,どんどん,,more and more
1599390,なおす,直す,"to fix,to repair"
2846390,なおる,直る,"to be fixed,to be repaired"
1599400,なおる,治る,"to be cured,to heal"
1599420,なかなか,中々,considerably
1229840,なく,泣く,to weep
1529550,なくなる,無くなる,"to disappear,to get lost"
1518540,なくなる,亡くなる,to die
1447000,なげる,投げる,to throw or cast away
1157090,なさる,,(respectful) to do
1532910,なる,鳴る,to sound
1375620,なるべく,,as much as possible
1375820,なるほど,,now I understand
1212670,なれる,慣れる,to grow accustomed to
1599760,におい,,a smell
1244310,にがい,苦い,bitter
1599800,にかいだて,二階建て,two storied
1450330,にげる,逃げる,to escape
1463930,にっき,日記,journal
1465720,にゅういん,入院,to hospitalise
1465850,にゅうがく,入学,to enter school or university
1314600,にる,似る,to be similar
1367120,にんぎょう,人形,"doll, figure"
1448440,ぬすむ,盗む,to steal
1444270,ぬる,塗る,"to paint,to plaster"
1467620,ぬれる,,to get wet
1600160,ねだん,,price
1467710,ねつ,熱,fever
1467910,ねっしん,,enthusiasm
1360320,ねぼう,寝坊,sleeping in late
1529330,ねむい,眠い,sleepy
1529390,ねむる,眠る,to sleep
1304510,のこる,残る,to remain
1600280,のど,喉,throat
1600470,のりかえる,乗り換える,to change between buses or trains
1600530,のりもの,乗り物,vehicle
1546550,は,葉,leaf
1355810,ばあい,場合,situation
1100810,パート,,part time
1473230,ばい,倍,double
1472270,はいけん,拝見,(humble) to look at
1313080,はいしゃ,歯医者,dentist
1172660,はこぶ,運ぶ,to transport
1307550,はじめる,始める,to begin
1355850,ばしょ,場所,location
1476430,はず,筈,it should be so
1421630,はずかしい,恥ずかしい,embarrassed
1101570,パソコン,,personal computer
1477170,はつおん,発音,pronunciation
1010150,はっきり,,clearly
1194660,はなみ,花見,cherry-blossom viewing
1555440,はやし,林,"woods,forester"
1501620,はらう,払う,to pay
1482340,ばんぐみ,番組,television or radio program
1480670,はんたい,反対,opposition
1096770,ハンドバッグ,,handbag　
1463770,ひ,日,"day, sun"
1193610,ひ,火,fire
1106400,ピアノ,,piano
1556630,ひえる,冷える,to grow cold
1272780,ひかり,光,light
1272820,ひかる,光る,"to shine,to glitter"
1601650,ひきだし,引き出し,"drawer,drawing out"
1601660,ひきだす,引き出す,to withdraw
1601810,ひげ,髭,beard
1485520,ひこうじょう,飛行場,airport
1227370,ひさしぶり,久しぶり,after a long time
1486460,びじゅつかん,美術館,art gallery
1484930,ひじょうに,非常に,extremely
1226360,びっくり,,to be surprised
1169340,ひっこす,引っ越す,to move house
1487660,ひつよう,必要,necessary
1602060,ひどい,,awful
1202440,ひらく,開く,to open an event
1106010,ビル,,building or bill
1581710,ひるま,昼間,"daytime,during the day"
1426290,ひるやすみ,昼休み,noon break
1332570,ひろう,拾う,"to pick up,to gather"
1108180,ファックス,,fax
1602440,ふえる,増える,to increase
1362640,ふかい,深い,deep
1501350,ふくざつ,複雑,"complexity,complication"
1500800,ふくしゅう,復習,revision
1499460,ぶちょう,部長,head of a section
1497190,ふつう,普通,"usually, or a train that stops at every station"
1499230,ぶどう,葡萄,grapes
1408220,ふとる,太る,to become fat
1496890,ふとん,布団,"Japanese bedding, futon"
1602800,ふね,舟,ship
1494860,ふべん,不便,inconvenience
1450270,ふむ,踏む,to step on
1282770,ふりだす,降り出す,to start to rain
1116840,プレゼント,,present
1505120,ぶんか,文化,culture
1505190,ぶんがく,文学,literature
1505600,ぶんぽう,文法,grammar
1509430,べつ,別,different
1120010,ベル,,bell
1510640,へん,変,strange
1512220,へんじ,返事,reply
1520120,ぼうえき,貿易,trade
1516750,ほうそう,放送,to broadcast
1517480,ほうりつ,法律,law
1521400,ぼく,僕,I (used by males)
1376310,ほし,星,star
1436510,ほど,程,extent
1522050,ほとんど,,mostly
1603550,ほめる,,to praise
1523400,ほんやく,翻訳,translation
1302070,まいる,参る,"(humble) to go,to come"
1497980,まける,負ける,to lose
1364360,まじめ,,serious
1387240,まず,先ず,first of all
1524990,または,,"or,otherwise"
1215330,まちがえる,間違える,to make a mistake
1215260,まにあう,間に合う,to be in time for
1604290,まわり,周り,surroundings
1604300,まわる,回る,to go around
1526920,まんが,漫画,comic
1604350,まんなか,真ん中,middle
1259140,みえる,見える,to be in sight
1267280,みずうみ,湖,lake
1527040,みそ,味噌,bean paste
1604550,みつかる,見つかる,to be discovered
1604570,みつける,見つける,to discover
1202150,みな,皆,everybody
1279990,みなと,港,harbour
1604800,むかう,向かう,to face
1253190,むかえる,迎える,to go out to meet
1382370,むかし,昔,"olden days, former"
1426680,むし,虫,insect
1404390,むすこ,息子,(humble) son
1531190,むすめ,娘,(humble) daughter
1530970,むり,無理,impossible
1346370,めしあがる,召し上がる,(polite) to eat
1431850,めずらしい,珍しい,rare
1362950,もうしあげる,申し上げる,"(humble) to say,to tell"
1363090,もうす,申す,"(humble) to be called,to say"
2015610,もうすぐ,,soon
2607730,もし,,if
1535780,もちろん,,of course
1293700,もっとも,最も,extremely
1535880,もどる,戻る,to turn back
1534870,もめん,木綿,cotton
1535910,もらう,,to receive
1362490,もり,森,forest
1350600,やく,焼く,"to bake,to grill"
1538130,やくそく,約束,promise
1537980,やくにたつ,役に立つ,to be helpful
1350610,やける,焼ける,"to burn,to be roasted"
1539040,やさしい,優しい,kind
1605510,やせる,痩せる,to become thin
1012800,やっと,,at last
2772770,やはり,,"as I thought,absolutely"
1012810,やっぱり,,"as I thought,absolutely"
1310640,やむ,止む,to stop
1310680,やめる,止める,to stop
1605630,やわらかい,柔らかい,soft
1448580,ゆ,湯,hot water
1538820,ゆしゅつ,輸出,to export
1538870,ゆにゅう,輸入,to import
1309650,ゆび,指,finger
1310050,ゆびわ,指輪,finger ring
1529410,ゆめ,夢,dream
1545710,ゆれる,揺れる,"to shake,to sway"
1546200,よう,用,use
1546220,ようい,用意,preparation
1546300,ようじ,用事,things to do
1179005,よごれる,汚れる,to get dirty
1543070,よしゅう,予習,preparation for a lesson
1543240,よてい,予定,arrangement
1543750,よやく,予約,reservation
1219680,よる,寄る,to visit
1218760,よろこぶ,喜ぶ,to be delighted
1224880,よろしい,,"(respectful) OK,all right"
1550140,りゆう,理由,reason
1549660,りよう,利用,utilization
1554010,りょうほう,両方,both sides
1553130,りょかん,旅館,Japanese hotel
1552760,るす,留守,absence
1557290,れいぼう,冷房,air conditioning
1558050,れきし,歴史,history
1145130,レジ,,register
1145990,レポート,,report
1145990,リポート,,report
1559900,れんらく,連絡,contact
1148520,ワープロ,,word processor
1501660,わかす,沸かす,"to boil,to heat"
1606590,わかれる,別れる,to separate
1606680,わく,沸く,"to boil, to grow hot,to get excited"
1538330,わけ,訳,"meaning,reason"
1519230,わすれもの,忘れ物,lost article
1351360,わらう,笑う,"to laugh,to smile"
1606810,わりあい,割合,"rate,ratio,percentage"
1208020,われる,割れる,to break
2005990,およぎかた,泳ぎ方,way of swimming
